;AC_Usuario;AC_Perfil;AC_Opcion;AC_Usuario_Perfil;AC_Perfil_Opcion;AC_Asignar_Opcion;SU_Pais;SU_Ciudad;SU_Empresa;SU_Tipo_Empresa;SU_Tipo_Empresa_Cargo;SU_Cargo;SU_Empresa_Usuario;SU_Titulo;CE_Convocatoria;CE_Tema;CE_Evaluacion;CE_Seccion;CE_Pregunta;CE_Alternativa;CE_Tipo_Pregunta;CE_Tema_Articulo;CE_Evaluacion_Tema_Articulo;CE_Evaluador_Articulo;CE_Respuesta;AE_Categoria;AE_Subcategoria;AE_Categoria_Evento;AE_Subcategoria_Evento;AE_Respuesta_Faq;AE_Pregunta_Faq;AE_Faq;AE_Actividad;AE_Fecha_Evento;GI_Grupo_Investigacion;AE_Organizador;AE_Evento;AE_Tipo_Evento;AE_Asignar_Evento;AE_Auspicio;AE_Material;AE_Tipo_Material;AE_Registro;AE_Material_Registro;AA_Articulo;AA_Autor_Articulo;AE_Evento_Articulo;AE_Conferencista_Evento_Articulo;AE_Conferencista_Evento;AE_Evento_Opcion;AA_Archivo
cr_AE_Registro;A/M, A/M;A/M;;A/M;;;A/M, A/M;A/M, A/M;;;;;;A/M, A/M;;;;;;;;;;;;A/M, A/M;A/M;A/M;A/M;;;;;;;;A/M, A/M, A/M;A/M, A/M, A/M;;;;;O/C;;;;;;;;
fin_AE_Registro;A/M, A/M;A/M;;A/M;;;A/M, A/M;A/M, A/M;;;;;;A/M, A/M;;;;;;;;;;;;A/M, A/M;A/M;A/M;A/M;;;;;;;;A/M, A/M, A/M;A/M, A/M, A/M;;;;;O/E;;;;;;;;
cr_AE_Material_Registro;A/M, A/M;A/M;;A/M;;;A/M, A/M;A/M, A/M;;;;;;A/M, A/M;;;;;;;;;;;;A/M, A/M;A/M;A/M;A/M;;;;;;;;A/M, A/M, A/M, A/M;A/M, A/M, A/M, A/M;;;A/M;A/M;A/M;O/C;;;;;;;
fin_AE_Material_Registro;A/M, A/M;A/M;;A/M;;;A/M, A/M;A/M, A/M;;;;;;A/M, A/M;;;;;;;;;;;;A/M, A/M;A/M;A/M;A/M;;;;;;;;A/M, A/M, A/M, A/M;A/M, A/M, A/M, A/M;;;A/M;A/M;A/M;O/E;;;;;;;
cr_AA_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;
fin_AA_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;
cr_AA_Autor_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/C;;;;;
fin_AA_Autor_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/E;;;;;
cr_AE_Evento_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;O/C;;;;
fin_AE_Evento_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;O/E;;;;
cr_AE_Conferencista_Evento_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;;O/C;A/M;;
fin_AE_Conferencista_Evento_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;;O/E;A/M;;
cr_AE_Conferencista_Evento;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;O/C;;
fin_AE_Conferencista_Evento;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;O/E;;
cr_AE_Evento_Opcion;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;O/C;
fin_AE_Evento_Opcion;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;O/E;
cr_AA_Archivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;O/C
fin_AA_Archivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;O/E
