;Categoria;Subcategoria;Categoria_Evento;Subcategoria_Evento;Registro;Material_Registro;Material;Tipo_Material;Convocatoria;Evaluacion;Tema;Tema_Articulo;Seccion;Faq;Pregunta_Faq;Respuesta_Faq;Fecha_Evento;Actividad;Organizador;Grupo_Investigacion;Pregunta;Tipo_Pregunta;Alternativa;Evaluacion_Tema_Articulo;Respuesta;Evaluador_Articulo;Titulo;Usuario;Rol_Usuario;Rol;Pais;Ciudad;Empresa;Tipo_Empresa;Cargo;Tipo_Empresa_Cargo;Empresa_Usuario;Auspicio;Conferencista_Evento;Conferencista_Evento_Articulo;Articulo;Autor_Articulo;Evento;Tipo_Evento;Subevento_Evento;Menu_Evento;Opcion_Menu;Menu;Submenu
end_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;A/M;A/M;;;;;
cr_Autor_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;A/M;A/M;A/M;A/M;;;;;;;;;A/M;O/C;A/M;A/M;;;;;
end_Autor_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;A/M;A/M;A/M;A/M;;;;;;;;;A/M;O/E;A/M;A/M;;;;;
cr_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;A/M;;;;;
end_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;A/M;;;;;
cr_Tipo_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;
end_Tipo_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;
cr_Subevento_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;A/M, A/M;O/C;;;;
end_Subevento_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;A/M, A/M;O/E;;;;
cr_Menu_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;O/C;A/M;;
end_Menu_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;O/E;A/M;;
cr_Opcion_Menu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;
end_Opcion_Menu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;
cr_Menu;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;A/M;A/M;A/M;A/M;;;;;;;;;;;;;;;A/M;O/C;
end_Menu;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;A/M;A/M;A/M;A/M;;;;;;;;;;;;;;;A/M;O/E;
cr_Submenu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;;O/C
end_Submenu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;;O/E
